,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
D439463576,,ARG,,0.6,pizza,steak,,,NONE,NONE,,True,135,"caddis: Remember you said this in ten months when a slice of pizza or worse, a cheese steak, starts looking just a little too enticing.",
S3008428816,,ARG,,1.0,Nissan,Ford,,,NONE,NONE,,True,203,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",
B196887354,,ARG,,1.0,Windows 98,Windows XP,,,NONE,NONE,,False,168,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",
B321014736,,NONE,,1.0,Python,Lisp,,,ARG,ARG,,False,261,"Apart from the fact that languages such as Python, Ruby, Haskell do have very powerful functional programming support for like 10-15 years - and IMHO better one than C# or LINQ - all this goes back to Lisp , which will be celebrating 50th anniversary next year.",
R2883166615,,ARG,,1.0,Python,Bash,,,NONE,NONE,,False,104,"This would probably be easier in Python, but Bash works fine after you get the quoting straightened out.",
E723019506,,ARG,,0.6,steak,bread,,,NONE,NONE,,True,129,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",
B323285800,,NONE,,1.0,plywood,steel,,,ARG,ARG,,True,39,A plywood boat better than a steel one?,
L1837304663,,NONE,,0.4,Ford,Honda,,,ARG,ARG,,True,66,Not sure Ford is going to be any better than Honda in that regard.,
G1058863747,,ARG,,1.0,Sigma,Nikon,,,NONE,NONE,,True,120,I don't think very many people are going to buy an Sigma SD-10 when the Canon 10D and Nikon D70 are so clearly superior.,
G1053661711,,NONE,,1.0,Sony,Dell,,,ARG,ARG,,True,82,"I don't know if Sony would be better than Dell, or any other make for that matter.",
O2375382008,,ARG,,0.6,virginia,oregon,,,NONE,NONE,,True,140,"That second conclusion is obviously true, but virginia was slaughtered Saturday by the oregon Ducks, which makes BYU's loss a little uglier.",
L1887405462,,NONE,,0.8,Java,PHP,,,ARG,ARG,,True,50,"Once I know Java, is jsp easier to learn than PHP?",
J1441471629,,ARG,,0.5,Amazon,Microsoft,,,NONE,NONE,,False,158,"Its Azure PaaS/IaaS platform hasn't overtaken Amazon yet in market share, but Microsoft has enjoyed nine straight quarters of growth at 10 percent or better .",
P2447016108,,ARG,,0.6,Java,Smalltalk,,,NONE,NONE,,True,53,The consensus seems to be that Java killed Smalltalk.,
T3208185138,,NONE,,1.0,PHP,JavaScript,,,ARG,ARG,,False,110,"WordPress recommends doing this all over the place in PHP, so I can't see how this is any worse in JavaScript.",
M1988340193,,ARG,,0.8,Perl,Python,,,NONE,NONE,,True,70,Perl would have been more better had there been good REPL like Python.,
J1449651088,,ARG,,1.0,youtube,itunes,,,NONE,NONE,,True,106,"It's gotten better with youtube, but Kreva's itunes page is bare except for his collaboration with Miyavi.",
J1444398784,,ARG,,1.0,carolina,california,,,NONE,NONE,,True,78,It's definitely gotten worse since we moved to North carolina from california.,
F737750108,,ARG,,1.0,Nikon,Sigma,,,NONE,NONE,,True,118,"For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.",
G981145717,,ARG,,1.0,Windows XP,Windows 8,,,NONE,NONE,,True,341,"However, t he decline seen in the last two years should start to level off, and Stice predicts better prospects for  2014 - including Intel's Bay Trail, which will provide longer battery life and powerful graphics,  the expiration of Windows XP in April , which may encourage consumers to ditch old laptops in favor of new Windows 8 devices.",
G1057693658,,ARG,,1.0,dartmouth,harvard,,,NONE,NONE,,True,155,"I don't think it could've worked out any better with what happened (at dartmouth) at the end of the game up there, and then obviously our rival (harvard).""",
G938245917,,NONE,,1.0,Ruby,JavaScript,,,ARG,ARG,,False,235,"@hguser it is not recommended in Ruby to use global variables, like you know its not recommended in JavaScript to avoid naming conflicts, find better way to handle your variables than declaring them global -  bjhaid Feb 23 '12 at 16:45",
M2054206661,,ARG,,0.8,Python,Lisp,,,NONE,NONE,,True,162,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",
O2425026854,,NONE,,1.0,Buick,Cadillac,,,ARG,ARG,,False,93,The Buick is a far better driver but doesn't have the wretched excess appeal of the Cadillac.,
L1805844629,,ARG,,1.0,Microsoft,Sony,,,NONE,NONE,,True,65,"Nintendo, Microsoft, Sony from best to worse in that exact order.",
H1179155668,,ARG,,0.8,Bluetooth,USB,,,NONE,NONE,,True,95,I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.,
O2416140757,,ARG,,1.0,football,tennis,,,NONE,NONE,,True,107,"The better young male athletes in the US, said McEnroe, prefer to play football and basketball over tennis.",
T3184473937,,NONE,,0.6,Windows 8,Windows 7,,,ARG,ARG,,True,88,"Windows 8 is sequential successor to Windows 7. It doesn't matter which one is ""better"".",
T3159828573,,ARG,,1.0,Google,IBM,,,NONE,NONE,,True,265,"While it is certainly true that few companies posted big wins in the equity markets this week, it remains striking that Google underperformed Oracle, IBM, Apple, Microsoft, and Yahoo! (all of whom posted losses much closer to those of NASDAQ) and HP did even worse.",
M2054181256,,NONE,,1.0,Python,Perl,,,ARG,ARG,,True,80,"Python has a better standard library, but Perl has a better nonstandard library.",
D425903569,,ARG,,0.8,Chevrolet,Toyota,,,NONE,NONE,,True,220,"But with the 3.73 rear axle as tested, the Chevrolet Silverado finished in third place pulling the trailer from 0 to 60-mph in 22.6 seconds, 6.5-seconds behind the Toyota Tundra and 1.1-seconds slower than the Dodge Ram.",
I1297767926,,ARG,,1.0,Intel,Microsoft,,,NONE,NONE,,True,111,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",
T3281768598,,ARG,,1.0,JavaScript,PHP,,,NONE,NONE,,True,147,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",
C353336788,,ARG,,1.0,Toshiba,Samsung,,,NONE,NONE,,True,165,"A second generation is planned for the mid-year point with Toshiba flash chips replacing the Samsung ones, and a Marvell controller, possibly a faster 6Gbit/s model.",
H1088620429,,ARG,,1.0,wii,playstation,,,NONE,NONE,,False,94,"if people love the wii, they will love the nextgen graphics plus playstation Move even better.",
P2596880743,,ARG,,1.0,football,hockey,,,NONE,NONE,,True,53,The only thing worse than pro football is pro hockey!,
B231874680,,ARG,,0.5,Amazon,Apple,,,NONE,NONE,,True,104,"Amazon is, I think, in a better position (how much better, I don't know) to compete directly with Apple.",
D538987468,,ARG,,1.0,CUDA,OpenCL,,,NONE,NONE,,False,125,"CUDA has much better support than AMD or OpenCL, try to get AMD to help you to debug your code, and you will see what happen!",
B214256760,,NONE,,0.8,Python,Lisp,,,ARG,ARG,,False,116,"Also, I found R easier to master than either Octave or Python, but this is probably because I am familiar with Lisp.",
D480125590,,ARG,,1.0,Nikon,Sigma,,,NONE,NONE,,True,120,"Chromatic aberration and distortion are better controlled on the Nikon, while Sigma does well in controlling vignetting.",
N2164548773,,NONE,,0.4,Python,PHP,,,ARG,ARG,,True,109,Setting up Python running as FastCGI on either Apache or lighttpd is much harder than creating a page of PHP.,
T3210886630,,ARG,,0.6,coffee,beer,,,NONE,NONE,,True,53,"Worse than coffee, the effect beer has on my bladder.",
K1702651089,,ARG,,1.0,Apple,Dell,,,NONE,NONE,,True,144,"Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",
F823169552,,ARG,,1.0,NetBeans,Eclipse,,,NONE,NONE,,True,33,"Goodnight NetBeans, Hello Eclipse",
S3113863522,,NONE,,0.6,Windows XP,Windows 8,,,ARG,ARG,,True,294,"What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",
M1933738630,,ARG,,1.0,Windows 98,Windows XP,,,NONE,NONE,,True,105,Or may be it's related to the inferior CPU/memory management in Windows 98 in comparison with Windows XP?,
J1491454868,,ARG,,1.0,PHP,Java,,,NONE,NONE,,True,168,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,
Q2627770948,,NONE,,0.6,ds,ps2,,,ARG,ARG,,True,94,"The PSP does support a few thing that ds can't, They are DLC, better sound, ps2-like Graphics.",
D393948617,,ARG,,0.8,Apple,Dell,,,NONE,NONE,,True,164,"But in both cases Apple gets poor grades from Greenpeace while Dell gets better grades, despite the inconvenient fact that both are in exactly the same boat: stuck.",
N2233321126,,NONE,,1.0,Groovy,Java,,,ARG,ARG,,False,126,"So Groovy gives me a faster, dynamic version of Java, and Grails gives me a fantastic toolkit to get great stuff done quickly.",
F823938067,,ARG,,1.0,Renault,Ferrari,,,NONE,NONE,,False,47,Good to see again a Renault ahead of a Ferrari.,
O2391947780,,ARG,,1.0,Chevrolet,Ford,,,NONE,NONE,,True,170,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",
K1707970969,,NONE,,1.0,Intel,Microsoft,,,ARG,ARG,,True,111,"Merging SW development effort with Intel did not work out, and outsourcing OS to Microsoft is going even worse.",
S3074504449,,NONE,,0.6,Apple,Sony,,,ARG,ARG,,True,99,"We often hear that Apple ""plays the game"" better than Sony, HP, Dell, etc - that's not quite right.",
T3161353899,,ARG,,1.0,Motorola,Samsung,,,NONE,NONE,,True,51,"While Motorola has diminished, Samsung has excelled",
J1545009560,,ARG,,1.0,Java,Groovy,,,NONE,NONE,,True,263,"Java has an impoverished model of abstraction; Groovy is a decent alternative (I find its syntax and a few language features a little weird at times, but when you come from a Lisp/Smalltalk background, languages with extensive syntax always seem a little crude :)",
I1340683567,,ARG,,1.0,Ferrari,BMW,,,NONE,NONE,,True,80,"Ironically, our Ferrari, lambo, GTRs, bentley is more then BMW //M and MERC AMG.",
Q2671009969,,ARG,,1.0,restaurant,cafe,,,NONE,NONE,,True,76,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",
R2786895482,,NONE,,1.0,Lexus,Audi,,,ARG,ARG,,False,72,"They know that Lexus has better residual, and that Audi has better tech.",
R2862116213,,ARG,,1.0,USB,Ethernet,,,NONE,NONE,,True,111,This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,
I1363784643,,ARG,,1.0,Microsoft,Sony,,,NONE,NONE,,False,100,It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,
L1818525389,,NONE,,1.0,BMW,Honda,,,ARG,ARG,,False,122,"No one is saying ""BMW makes a better one,"" or ""Honda makes a better one,"" we're JUST SAYING THAT THE VOLT SUCKS, PERIOD!!!",
H1155299001,,ARG,,1.0,MySQL,SQLite,,,NONE,NONE,,True,142,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,
E592447339,,NONE,,1.0,Apple,Amazon,,,ARG,ARG,,True,70,Does Apple manage its supply chain better than Amazon manages its own?,
I1367760515,,ARG,,1.0,iphone,laptop,,,NONE,NONE,,False,89,It can be done on the iphone but editing is much easier on the IPad or a laptop computer.,
Q2761387385,,NONE,,0.8,missouri,georgia,,,ARG,ARG,,True,88,"The whole Florida line didn't play well versus missouri, but was better against georgia.",
E559257013,,ARG,,1.0,beer,cider,,,NONE,NONE,,True,65,"Decent for gluten free beer, but I think I'd rather have a cider.",
H1195626804,,ARG,,1.0,Perl,AWK,,,NONE,NONE,,False,83,"I'm a Perl guy myself, but sometimes AWK is faster and cleaner for extracting data.",
P2583885800,,ARG,,1.0,Intel,Sony,,,NONE,NONE,,True,298,"The NP900X4C was decidedly mediocre at gaming tests, thanks to its Intel HD Graphics 4000 integrated graphics, but the 62Wh battery let it last a long time on the MobileMark battery test: just short of 7 hours, ahead of the Zenbook Prime UX32VD (5:26) and the Sony VAIO E15 (4:34) by a wide margin.",
D515490408,,ARG,,1.0,Toyota,BMW,,,NONE,NONE,,True,226,"Considering AM is alive and well on all other electric cars and hybrids from manufacturers like General Motors, Toyota, Tesla and Nissan, just to name a few, I'd say it has more to do with lousy engineering on the part of BMW.",
H1174766283,,ARG,,1.0,pistol,knife,,,NONE,NONE,,True,203,"I know that there are a lot of commandos out there who will tell me that I just need more practice in drawing my pistol quickly, and, although I have practiced, I am still a little faster with the knife.",
T3176894342,,ARG,,1.0,potato,steak,,,NONE,NONE,,True,82,Why should I give you $6 for a lousy potato when I've aready paid $35 for a steak?,
L1777173235,,NONE,,1.0,MySQL,PostgreSQL,,,ARG,ARG,,False,104,"MySQL might be faster for simple operations, but PostgreSQL completely demolishes it in complex queries.",
Q2711799276,,ARG,,1.0,truck,bus,,,NONE,NONE,,True,83,"The shuttle is a decent space truck, but we need a cheaper (and safer) space ""bus.""",
J1514394452,,ARG,,1.0,Honda,Ford,,,NONE,NONE,,True,126,"I was deciding between that and the Honda Civic 2.0 and in my opinion, the handling of the Ford was better than the Civic 2.0.",
E594409476,,NONE,,0.8,milk,soda,,,ARG,ARG,,True,81,Does this imply that milk is worse than soda as far as tooth decay is concerned??,
I1250153644,,ARG,,1.0,Windows XP,Windows Vista,,,NONE,NONE,,True,146,"Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.",
O2374227557,,ARG,,1.0,Sony,Google,,,NONE,NONE,,True,114,"That Samsung, LG, Sony, etc don't have the source code, just means that Google are able to release faster, surely?",
B316466652,,ARG,,1.0,OpenGL,Direct3D,,,NONE,NONE,,True,156,"Any software company wants as huge a target audience as possible, so for them it's much better to write OpenGL-based apps instead of apps based on Direct3D.",
K1640432453,,NONE,,1.0,Groovy,Java,,,ARG,ARG,,True,109,"Lo and behold, the same code runs 280 times slower when compiled as a Groovy class than its Java counterpart.",
T3167737390,,ARG,,1.0,youtube,hulu,,,NONE,NONE,,True,139,"While youtube has faced difficulties in monetizing its ads, a site like hulu has grown faster than expected, balancing things out, he said.",
K1713800708,,ARG,,0.8,Microsoft,Google,,,NONE,NONE,,False,55,Microsoft Live Maps Looks Better Than Google Maps/Earth,
F758754877,,ARG,,1.0,baseball,softball,,,NONE,NONE,,True,71,"For some reason baseball players think hitting a softball is 'easier.'""",
B175650125,,ARG,,0.8,oregon,michigan,,,NONE,NONE,,True,199,"again, usc lost to oregon fucking state!! notre dame will have 1 quality win and a piss-poor sched, and michigan will have 2 quality wins(bucky, and i reluctanly add notre dame) and a mediocre sched.",
